vendor,model,price,reviews,sells,url
Ubiquiti,UniFi,1125,67,6012,https://www.mercadolivre.com.br/access-point-outdoor-access-point-indoor-sistema-wi-fi-mesh-ubiquiti-unifi-ac-mesh-uap-ac-m-branco/p/MLB7917422?pdp_filters=category:MLB5867
Aquário,WEX-350,292.72,67,2101,https://www.mercadolivre.com.br/access-point-roteador-aquario-wex-350-branco-110v220v/p/MLB15306373?pdp_filters=category:MLB5867
TP-Link,TL-WR841HP,328,65,265,https://www.mercadolivre.com.br/roteador-tp-link-tl-wr841hp-v5-preto/p/MLB15980101?pdp_filters=category:MLB5867
ZTE,mf25b,269.99,64,517,https://produto.mercadolivre.com.br/MLB-1295080384-modem-roteador-wif-3g-zte-mf25b-desbloq-saida-rural-e-tel-_JM
Huawei,AX3 Dual-Core,389,63,1576,https://www.mercadolivre.com.br/roteador-huawei-ax3-dual-core-branco-220v/p/MLB17474122?pdp_filters=category:MLB5867
D-Link,AC1900,786,63,292,https://www.mercadolivre.com.br/roteador-d-link-ac1900-dir-878-preto/p/MLB9452638?pdp_filters=category:MLB5867
MikroTik,rb951ui,524,61,2975,https://www.mercadolivre.com.br/access-point-mikrotik-routerboard-rb951ui-2hnd-branco-100v240v/p/MLB6072699?pdp_filters=category:MLB5867
,,444.9,61,4,https://produto.mercadolivre.com.br/MLB-2068396028-roteador-multilaser-gigabit-ac2600-8-antenas-re016-_JM
MikroTik,RouterBOARD,632,60,2429,https://www.mercadolivre.com.br/access-point-outdoor-mikrotik-routerboard-omnitik-5-rbomnitiku-5hnd-branco-100v240v/p/MLB6322214?pdp_filters=category:MLB5867
TP-Link,Deco X60,1040,60,1641,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-access-point-roteador-wmm-tp-link-deco-x60-v3-branco-100v240v/p/MLB18473846?pdp_filters=category:MLB5867
TP-Link,Deco X20,2473.33,58,1299,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-x20-branco-220v-3-unidades/p/MLB16139810?pdp_filters=category:MLB5867
MikroTik,RouterBOARD,968,56,1002,https://www.mercadolivre.com.br/roteador-mikrotik-routerboard-rb2011uias-2hnd-in-preto-e-vermelho-100v240v/p/MLB6364668?pdp_filters=item_id:MLB2148261434
Multilaser,RE015,180,54,1586,https://www.mercadolivre.com.br/roteador-multilaser-re015-preto/p/MLB17324477?pdp_filters=category:MLB5867
MikroTik,Cloud Core,7980,54,1509,https://www.mercadolivre.com.br/roteador-bridge-mikrotik-cloud-core-ccr1036-8g-2s-branco-100v240v/p/MLB8999649?pdp_filters=category:MLB5867
TP-Link,RE200,178.9,53,1330,https://www.mercadolivre.com.br/access-point-range-extender-wmm-tp-link-re200-v5-branco-220v/p/MLB18243252?pdp_filters=category:MLB5867
MikroTik,RouterBOARD,382,50,1044,https://www.mercadolivre.com.br/access-point-indoor-mikrotik-routerboard-hap-ac-lite-tower-rb952ui-5ac2nd-tc-preto/p/MLB8718822?pdp_filters=category:MLB5867
TP-Link,TL-WR740N,51.4,49,478,https://www.mercadolivre.com.br/roteador-wds-bridge-tp-link-tl-wr740n-v7-branco-220v/p/MLB18270399?pdp_filters=category:MLB5867
,,440.91,49,76,https://produto.mercadolivre.com.br/MLB-1002891431-ubiquiti-lite-beam-m5-lbe-m5-23dbi-58ghz-fonte-poe-f-gratis-_JM
,,564.9,49,17,https://produto.mercadolivre.com.br/MLB-1861498629-roteador-wifi-tenda-ac23-gigabit-7-antenas-6dbi-ac-2100mbps-_JM
Intelbras,IWR 1000N,110.62,48,1019,https://www.mercadolivre.com.br/roteador-access-point-intelbras-iwr-1000n-branco-100v240v/p/MLB8734630?pdp_filters=category:MLB5867
,,150,48,7,https://produto.mercadolivre.com.br/MLB-2680952565-roteador-intelbras-iwr-1000n-branco-kit-10-sem-fonte-_JM
TP-Link,Omada,723,46,6055,https://www.mercadolivre.com.br/access-point-indoor-tp-link-omada-eap225-v3-branco/p/MLB7912355?pdp_filters=category:MLB5867
TP-Link,Omada eap115,197.65,46,2666,https://www.mercadolivre.com.br/access-point-indoor-tp-link-omada-eap115-branco/p/MLB7953374?pdp_filters=category:MLB5867
TP-Link,TL-MR3420,175,46,554,https://www.mercadolivre.com.br/roteador-wds-bridge-tp-link-tl-mr3420-v5-branco-220v/p/MLB18276020?pdp_filters=category:MLB5867
,,149,45,18,https://produto.mercadolivre.com.br/MLB-2220606628-roteador-tenda-_JM
TP-Link,Omada,200,43,2425,https://www.mercadolivre.com.br/access-point-indoor-tp-link-omada-eap110-branco/p/MLB15354537?pdp_filters=category:MLB5867
D-Link,EXO dir 3040,385,43,1191,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-roteador-d-link-exo-dir-3040-preto-100v240v/p/MLB19034976?pdp_filters=category:MLB5867
,,540,43,128,https://produto.mercadolivre.com.br/MLB-1727690776-mikrotik-routerboard-rb-d52g-5hacd2hnd-tc-hap-ac2-l4-24-58-_JM
MikroTik,Cloud Core,6700,41,893,https://www.mercadolivre.com.br/roteador-mikrotik-cloud-core-r2-ccr1036-12g-4s-branco-100v240v/p/MLB6364666?pdp_filters=category:MLB5867
TP-Link,Deco M9 Plus,2512,41,1372,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-wmm-tp-link-deco-m9-plus-v2-branco-220v-3-unidades/p/MLB18467282?pdp_filters=category:MLB5867
TP-Link,TL-MR3020,173,41,611,https://www.mercadolivre.com.br/roteador-wisp-tp-link-tl-mr3020-v1-cinza-220v/p/MLB18218495?pdp_filters=category:MLB5867
