model,price,reviews,sells,url,vendor
,355,347,1,https://produto.mercadolivre.com.br/MLB-2614954309-roteador-wi-fi-mesh-kit-twibi-fast-branco-2-unidades-oferta-_JM,
,254.90,"1,661",13,https://produto.mercadolivre.com.br/MLB-2078245721-roteador-intelbras-rf-1200-ac-1200-mbps-4-antenas-action-_JM,
,119,969,3,https://produto.mercadolivre.com.br/MLB-2169004295-repetidor-de-sinal-xiaomi-mi-wi-fi-300mbps-oferta-_JM,
,242,515,327,https://produto.mercadolivre.com.br/MLB-1712402162-roteador-tp-link-archer-c60-v2-branco-5-anos-de-garantia-_JM,
,392.99,"2,128",4,https://produto.mercadolivre.com.br/MLB-2695475548-roteador-wifi-gigabit-intelbras-rg1200-potente-quebra-parede-_JM,
,130,747,1,https://produto.mercadolivre.com.br/MLB-1121494677-roteador-wireless-300mbps-intelbras-iwr-3000n-24-ghz-_JM,
,176.63,"4,972",19,https://produto.mercadolivre.com.br/MLB-2007446756-roteador-tp-link-archer-c20-azul-e-branco-_JM,
,631.60,"1,123",2,https://produto.mercadolivre.com.br/MLB-2032148127-repetidor-tp-link-re450-branco-_JM,
,299.88,141,6,https://produto.mercadolivre.com.br/MLB-2661574351-roteador-mercusys-mr50g-v1-bivolt-ipv6-iptv-acess-point-5ghz-_JM,
,289.62,687,133,https://produto.mercadolivre.com.br/MLB-1573440554-roteador-tp-link-wireless-dual-band-ac-1200-archer-c5-w-_JM,
,365.39,"2,369",913,https://produto.mercadolivre.com.br/MLB-1633621880-roteador-tp-link-wireless-gigabit-mu-mimo-ac1200-archer-c6-_JM,
,394.50,5,188,https://produto.mercadolivre.com.br/MLB-2220459638-roteador-intelbras-mesh-twibi-giga-24-a-5ghz-180m-wi-fi-5-_JM,
,532.23,712,610,https://produto.mercadolivre.com.br/MLB-1711555231-mikrotik-routerboard-rb-750gr3-hex-880mhz-256mb-l4-_JM,
,86.90,5,22,https://produto.mercadolivre.com.br/MLB-1950203892-roteador-24ghz-2-antenas-10100-linksys-wrt54g-com-nfe-_JM,
,57.41,69,2224,https://produto.mercadolivre.com.br/MLB-1737402238-roteador-repetidor-wireless-n-sinal-wifi-repeater-300mbps-_JM,
,628,587,47,https://produto.mercadolivre.com.br/MLB-1925368322-access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m4-_JM,
,284.05,512,58,https://produto.mercadolivre.com.br/MLB-2152168929-modem-roteador-wifi-internet-gwr1200ac-mont-branco-greatek-_JM,
,259.71,46,1,https://produto.mercadolivre.com.br/MLB-2036606485-access-point-indoor-tp-link-omada-eap115-branco-_JM,
,250.20,420,187,https://produto.mercadolivre.com.br/MLB-1781880902-roteador-tplink-tl-r-470t-4-wan-load-balance-ate-4-links-_JM,
MW325R,112.11,235,3640,https://www.mercadolivre.com.br/roteador-mercusys-mw325r-v1-branco-100v240v/p/MLB9373592?pdp_filters=item_id:MLB1857272229,Mercusys
